,series_title,primary_work_count,series_work_count,series_description,link
103,Aurelio Zen,11,12,"The first of the stories, Ratking, won the 'Gold Dagger' award of 1988. This series of detective novels provide a penetrating insight into the less visible aspects of Italian society over the last twenty years. The earlier books have a lightness of touch that gradually becomes much darker. The character of Zen himself is anti-heroic, which adds much to the books' irony and black humour. Dibdin died in 2007 shortly after finishing the last book in the series, End Games, which appeared posthumously in July 2007.",https://www.goodreads.com/series/42448-aurelio-zen
104,Nell Sweeney Mysteries,6,7,"The Nell Sweeney historical mysteries, which are set in post-Civil War Boston, star a young Irish-born governess and her employer's black sheep son, the dissolute, wounded, dangerously charming Will Hewitt. If you like twisty-turny mysteries with a breathless whisper of romantic tension, you've come to the right place.",https://www.goodreads.com/series/41279-nell-sweeney-mysteries
105,The Grantchester Mysteries,6,7,"Short stories collections. Sidney Chambers, a 32-year-old bachelor, vicar of Grantchester, and amateur sleuth, in Cambridgeshire, England, in the Grantchester mysteries:",https://www.goodreads.com/series/80976-the-grantchester-mysteries
106,Michael McKenna,5,5,"Michael McKenna, detective chief inspector in Wales:",https://www.goodreads.com/series/85549-michael-mckenna
107,Maeve Kerrigan,7,9,"Maeve Kerrigan, an ambitious young detective constable, in London, England:",https://www.goodreads.com/series/72805-maeve-kerrigan
108,Kovac and Liska,5,7,"Sam Kovac, a hard-boiled police detective, and his wisecracking partner Nikki Liska, in Minneapolis, Minnesota.",https://www.goodreads.com/series/43198-kovac-and-liska
109,Richard Jury,23,26,"Richard Jury is a fictional Scotland Yard detective who stars in a series of mystery novels written by Martha Grimes. Initially a chief inspector, later a superintendent, Jury is invariably assisted in his cases by Melrose Plant, a British aristocrat who has given up his titles, and his hypochondriacal but dependable sergeant, Alfred Wiggins. Many of the novels include Divisional Commander Brian Macalvie of the Devon and Cornwall Constabulary. In addition there is a recurring ensemble of background characters.",https://www.goodreads.com/series/49632-richard-jury
110,Camel Club,5,8,"The Camel Club, a group of four dysfunctional men who investigate political conspiracies (Oliver Stone, Milton Farb, Caleb Shaw, Reuben Rhodes, and honorary member Alex Ford, a Secret Service agent), in Washington, DC:",https://www.goodreads.com/series/43037-the-camel-club
111,Krewe of Hunters,23,45,Adam Harrison put together a group of people with special skills. These are their stories.,https://www.goodreads.com/series/57401-krewe-of-hunters
112,A Savannah Martin Mystery,15,26,"Savannah Martin has always been a good girl, doing what was expected and fully expecting life to fall into place in its turn. But when her perfect husband turns out to be a lying, cheating slimeball - and bad in bed to boot - Savannah kicks the jerk to the curb and embarks on life on her own terms. With a new apartment, a new career, and a brand new outlook on life, she's all set to take the world by storm. If only the world would stop throwing her curveballs...",https://www.goodreads.com/series/64163-savannah-martin-mystery
113,Burke,18,18,"Burke, outlaw soldier-of-fortune investigator in New York City:",https://www.goodreads.com/series/54555-burke
114,Robert Hunter,9,12,About LAPD Detective Robert Hunter German: Hunter und Garcia,https://www.goodreads.com/series/67232-robert-hunter
115,Quincy & Rainie,7,9,"Lisa Gardner calls this thriller series the FBI Profiler series. It begins with FBI Profiler Pierce Quincy in The Perfect Husband. In book two, he meets local Bakersville, Oregon deputy, Lorraine ""Rainie"" Conner. Through the series Quincy and his partner Rainie solve crimes involving serial killers and psychopaths. Later books include Quincy's daughter, FBI Special Agent Kimberly Quincy.",https://www.goodreads.com/series/41508-fbi-profiler
116,Isabel Dalhousie,11,14,"Meet Edinburgh's top amateur sleuth, Isabel Dalhousie. Her hobbies include: classical music, young men and suspicious death. Meet Edinburgh's top amateur sleuth, Isabel Dalhousie. Her hobbies include: classical music, young men and suspicious death. Isabel Dalhousie is a philosopher in her early forties and lives alone in a large aging house in the south of Edinburgh. Thanks to a large inheritance left to her by her late mother, she is able to work for a nominal fee as the editor of the Review of Applied Ethics. Her closest friends are her niece Cat, a young attractive woman who runs a delicatessen; her housekeeper Grace, an outspoken woman with an interest in spiritualism; Cat's ex-boyfriend Jamie, a bassoonist to whom Isabel has been secretly attracted ever since they met; and Brother Fox, an urban fox who lives in Isabel's garden.",https://www.goodreads.com/series/43305-isabel-dalhousie
117,Caitlin Diggs,4,4,A paranormal/science fiction series featuring preternatural investigator Caitlin Diggs.,https://www.goodreads.com/series/53502-caitlin-diggs
118,The Enzo Files,9,9,"The Enzo Files are a mix of whodunit, investigation, thrills, suspense and humour. Enzo is in his early fifties, half-Scottish, half-Italian. Formerly one of Scotland's top forensic scientists, he now lives in France and works as a university professor in Toulouse. Divorced in Scotland, and widowed in France, he has an estranged Scottish daughter, and another in France whom he has had to raise on his own. Enzo is a complex character who deals with tragic loss and a broken heart by covering it up with bluff and bluster, and his bravado often gets him into difficult situations. As the result of a reckless wager, he becomes involved in solving old French 'cold cases' using the latest technology. But where there are unsolved murders, there are killers desperate to protect their freedom and keep their identities undiscovered; and Enzo soon finds that a lifetime in laboratories hardly equips him for the life-threatening situations he encounters. Enzo's investigations benefit from his formidable intellect but are often hampered by his lack of patience and tact, his zero tolerance of French bureaucrats, and his very complicated emotional life.",https://www.goodreads.com/series/70511-the-enzo-files
119,Rafferty and Llewellyn Police Procedural Series,18,23,"Detective Chief Inspector Joseph Rafferty and Detective Sergeant Dafyd Llewellyn are assigned to the police station in Elmhurst, Essex, England.",https://www.goodreads.com/series/51476-rafferty-and-llewellyn-police-procedural-series
120,Chess Team Adventure,8,21,"Also called: Jack Sigler Thriller Meet United States Special Forces Delta operative, Jack Sigler, callsign King, and his ""Chess Team""--Queen, Knight, Rook, Bishop and their handler, Deep Blue. Formed under special order from the president, they are the best of America's Special Forces, tasked with anti-terrorism missions that take them around the world against any threat--ancient, modern and, at times, inhuman. With modern weapons, tough-as-nails tactics and keen intellects, they stand alone on the brink, facing the world's most dangerous threats. These thrillers have everything: heart-pounding action and adventure, adrenaline-charged suspense and mystery, chilling horror, smart science, ancient legends, and stunning locations. http://us.macmillan.com/series/AJackSiglerThriller",https://www.goodreads.com/series/60141-chess-team-adventure
121,Memoirs of a Bow Street Runner,2,2,"Henry Morton, in Regency London, England, in the Memoirs of a Bow Street Runner series:",https://www.goodreads.com/series/92287-memoirs-of-a-bow-street-runner
122,Hilda Johansson,7,7,"Hilda Johansson, a young immigrant from Sweden working as a servant for the Studebaker family around the turn-of-the-19th century in South Bend, Indiana:",https://www.goodreads.com/series/41711-hilda-johansson
123,Kate Burkholder,10,16,"In the sleepy rural town of Painters Mill, Ohio, the Amish and ""English"" residents have lived side by side for two centuries. But sixteen years ago, a series of brutal murders shattered the peaceful farming community. Kate Burkholder, a young Amish girl, survived the terror of the Slaughterhouse Killer but came away from its brutality with the realization that she no longer belonged with the Amish. Now, a wealth of experience later, Kate has been asked to return to Painters Mill as Chief of Police. In these mystery thrillers, Kate must seek out the truth in a society of silence--and face some secrets of her own. http://us.macmillan.com/series/KateBurkholder",https://www.goodreads.com/series/56323-kate-burkholder
124,Body Farm,10,14,"Dr. Bill Brockton, a forensic anthropologist in Tennessee, in the Body Farm series:",https://www.goodreads.com/series/50492-body-farm
125,Cackleberry Club,7,7,"Three semi-desperate, 40+ women running the egg-themed Cackleberry Club in the small town of Kindred:",https://www.goodreads.com/series/45859-cackleberry-club
126,Cat Who...,29,44,"Jim Qwilleran, a journalist, solves mysteries with cats Koko and Yum Yum in Pickax, northeast central United States.",https://www.goodreads.com/series/41015-the-cat-who
127,Jake Lassiter,11,12,Jake Lassiter is a second-string linebacker turned night-school lawyer.,https://www.goodreads.com/series/55794-jake-lassiter
128,A Goldy Bear Culinary Mystery,17,17,Goldie Schultz - Caterer in small Colorado town,https://www.goodreads.com/series/41803-goldy-bear-culinary-mystery
129,Roger the Chapman,22,22,"Roger the Chapman, a medieval chapman (peddler) in England:",https://www.goodreads.com/series/41026-roger-the-chapman
130,Payne & Jones,8,8,"Kuzneski's novels follow the adventures of Jonathon Payne and David ""D.J."" Jones, former members of the MANIACs--an elite Special Forces unit in the U.S. military.",https://www.goodreads.com/series/57030-payne-jones
131,Josephine Tey,7,7,Josephine Tey is a mystery writer in 1930s London.,https://www.goodreads.com/series/52269-josephine-tey
132,Women's Murder Club,17,23,"The Women's Murder Club features four members: Lindsay Boxer, a homicide detective for the San Francisco Police Department; Cindy Thomas, a reporter for the San Francisco Chronicle; Claire Washburn, the Chief Medical Examiner for San Francisco; and Yuki Castellano, a San Francisco district attorney. Series known in Italian as: * Donne del Club Omicidi",https://www.goodreads.com/series/40469-women-s-murder-club
133,Jessica Huntington,3,4,"Jessica Huntington, rich, beautiful, smart seeks refuge in a desert paradise, only to discover life is full of surprises...",https://www.goodreads.com/series/136763-jessica-huntington
